,Unnamed: 0,price,location,sqm,extra,text,link,rooms,Épület típusa,Közös költség,Fűtés,Minimum bérlési idő,Berendezés,Emelet,Lift,Kilátás,Erkélyek száma,Min. bérlési idő,Energiatanúsítvány,Ház jellege,Ingatlan állapota,Komfort fokozat,Parkolási lehetőség,Épület szintjei,Rezsi költség,Beköltözhető,Mosógép van,Építés éve,Melegvíz,Konyhai szellőzés,Tájolás,Belmagasság,Közös költségben,Városrész,Különnyíló szoba,Amerikai konyha,Gyermekbarát,Hall,Kisállat,Kábeltévé szolgáltató,Kaució,Diákoknak,Hónapokra is,Bérleti díj hónapokra,Kaució hónapokra,Társasház neve,Dohányzás
0,0,330000,"Cházár András utca Budapest, XIV. kerület",58,"{'Épület típusa': 'Lakás', 'Közös költség': '18 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2000 után épült (Újszerű)', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Parkolási lehetőség': 'Fizetős parkoló övezet', 'Épület szintjei': '9'}","
Részletek
XIV. kerületben a Cházár András utcában kiadó egy 58nm-es, 3 szobás lakás hosszútávra!

ÚJ ÉPÍTÉSŰ 9 szintes társasházban helyezkedik el az ingatlan, 4. emeleti, utcára néző kilátással. A lakás MINDENNEL FELSZERELT, ERKÉLYES (5NM), KLIMATIZÁLT, bútorozott, gépesített.
Elosztása: előtér, amerikai konyhás nappali, KÉT KÜLÖNNYÍLÓ SZOBA, kádas fürdő és WC.

- PORTASZOLGÁLAT
- kamerarendszerrel őrzött
- sajárt zárt udvar
- a szobák ablakai redőnnyel felszereltek

KISÁLLATTAL IS KÖLTÖZHETŐ!

A közelben minden megtalálható ami a mindennapi élethez szükséges lehet.

Bérleti díj: 330.000 ft/hó
Közös költség: 18.000 ft/hó

A lakás 2 havi kaució és 1 havi bérleti díj ellenében AZONNAL KÖLTÖZHETŐ!
",https://www.alberlet.hu/kiado_alberlet/budapest-XIV-kerulet-chazar-andras-utca-58m2-3-szoba_744597,3.0,Lakás,18 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",4,Van,Utcai,1,Legalább 1 év,Nem adott,2000 után épült (Újszerű),Kiváló,Összkomfortos,Fizetős parkoló övezet,9,,,,,,,,,,,,,,,,,,,,,,,
1,1,986000,"Nagymező utca Budapest, VI. kerület",97,"{'Épület típusa': 'Lakás', 'Közös költség': '1 000 Ft/hó', 'Rezsi költség': '1 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Beköltözhető': '2024-04-21', 'Berendezés': 'Luxus', 'Emelet': '4', 'Kilátás': 'Tetőkre néző', 'Erkélyek száma': '1', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Társasház', 'Épület szintjei': 'Nem adott'}","
Részletek
The 91 sqm apartment consists of a living room, 2 bedrooms, 2 bathrooms, a kitchen with dining area, a 66 sqm terrace and a storage room.  
Absolutely luxury apartment, real downtown atmosphere, close to everything, unique private terrace which gives the opportunity to relax in the downtown (barbecue, wine, dinner, etc.).
",https://www.alberlet.hu/kiado_alberlet/budapest-VI-kerulet-nagymezo-utca-97m2-3-szoba_657271,3.0,Lakás,1 000 Ft/hó,Házközp. mérőórával,,Luxus,4,,Tetőkre néző,1,,Nem adott,Társasház,,,,Nem adott,1 000 Ft/hó,2024-04-21,,,,,,,,,,,,,,,,,,,,,
2,2,651000,"Lovas út Budapest, I. kerület",82,"{'Épület típusa': 'Lakás', 'Közös költség': '114 000 Ft/hó', 'Rezsi költség': '110 000 Ft/hó', 'Fűtés': 'Gázkazán', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-01-19', 'Berendezés': 'Üres, gépesített', 'Emelet': '3', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Kis társasház', 'Építés éve': '2005', 'Ingatlan állapota': 'Jó', 'Komfort fokozat': 'Összkomfortos', 'Melegvíz': 'Kombi cirkóról', 'Konyhai szellőzés': 'Ablak', 'Tájolás': 'Dél', 'Épület szintjei': '5', 'Belmagasság': '290 cm', 'Közös költségben': 'Épület takarítás, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Külön WC, Zuhanyzó Részletek
A Várnegyed egyik legexklúzívabb, várra néző utcájában kínáljuk ezt az 2005-ben épült társasházi lakást. Kivételes, igazi 180 fokos panoráma a Citadella, Naphegy, Kissvábhegy irányokba.

Magát a társasházat inkább egy önálló villaként képzeljük el, ami még magasabbra pozícionálja azt.

Kiadó tetőtéri 82 m² + teraszok (3*6 m²) lakás: nappali + 2 szoba, konyha, kamra, fürdőszoba, külön WC.
A lakásban szárítós mosógép, beépített konyhabútor, hűtő, mélyhűtő, mosogatógép, sütő, kerámia főzőlap, elszívó, riasztó, minden szobában légkondicionáló berendezés, világítótestek és videó kaputelefon van.

A társasház rendelkezik lifttel, de az a fél emeletről indul, így nem akadálymentesített.

Az ingatlan kiválóan alkalmas iroda céljára is.

Bérleti díj bruttó: 1651,00. EUR/hó
Közös költség bruttó: 286,00 EUR/hó
Garázs bruttó: 191,00 EUR/hó

Fenti árak az ÁFÁ-t tartalmazzák!

--

We offer this condominium apartment built in 1995 in one of the most exclusive streets of the Castle District, overlooking the castle. Exceptional, real 180-degree panorama in the directions of Citadella, Naphegy, Kissvábhegy.

We imagine the condominium itself as an independent villa, which positions it even higher.

Attic apartment for rent 82 m² + terraces (3*6 m²): living room + 2 rooms, kitchen, pantry, bathroom, separate toilet.
The apartment has a washer-dryer, built-in kitchen furniture, refrigerator, freezer, dishwasher, oven, ceramic hob, extractor hood, alarm, air conditioning in all rooms, lighting fixtures and video intercom.

The condominium has an elevator, but it starts from the middle floor, so it is not accessible.

The property is also excellent for office use.

Rent gross: 1651.00. EUR/month
Common cost gross: 286.00 EUR/month
Garage gross: 191.00 EUR/month

Above prices include VAT!

",https://www.alberlet.hu/kiado_alberlet/budapest-I-kerulet-lovas-ut-82m2-3-szoba_729890,3.0,Lakás,114 000 Ft/hó,Gázkazán,Legalább 1 év,"Üres, gépesített",3,Van,Panorámás,,Legalább 1 év,Nem adott,Kis társasház,Jó,Összkomfortos,,5,110 000 Ft/hó,2024-01-19,Igen,2005,Kombi cirkóról,Ablak,Dél,290 cm,"Épület takarítás, Szemétszállítás, Lift üzemeltetés",,,,,,,,,,,,,,
3,3,1183000,"Falk Miksa utca Budapest, V. kerület",105,"{'Épület típusa': 'Lakás', 'Városrész': 'Lipótváros', 'Közös költség': '50 000 Ft/hó', 'Rezsi költség': '26 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-15', 'Berendezés': 'Luxus', 'Különnyíló szoba': '1', 'Emelet': 'Félemelet', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Kiváló', 'Épület szintjei': '5', 'Közös költségben': 'Fűtés, Víz'}","
Lakás jellemzők: Design bútorok Részletek
Kiadó exkluzív lakás a Falk Miksa utcában

Parlamenttől pár lépésre kiadó ez a luxus minőségű, 105 m² + 18 m² teraszos, nagypolgári lakás a Falk Miksa utcában. Az elegáns ingatlan a félemeleten található egy belvárosi, nagypolgári épületben.

A LAKÁSBAN kialakításra került 1 külön bejáratú hálószoba, ahol kellemes körülmények között tölthetjük a pihenést. A plusz kényelmet biztosítja a beépített hatalmas gardróbszekrény és az egyedi megoldással kivitelezett fürdőszoba, ami lényegében egy légtérben van a szobával. A tágas amerikai konyhás nappali, mely alkalmas baráti összejövetelekre és a nagyméretű dél-kelet tájolású terasz, ahol élvezheti majd a jó időt, vagy a kedvenc könyvét.

Hatalmas terek, különleges építészeti megoldások, egyedi design. Az embernek kicsit az az érzése, mintha egy múzeumban lenne.

Mire gondolok?
- üveggel leválasztott hálószoba
- térben álló fürdőkád
- kézzel faragott, fából készült bárpult
- halszálkában lerakott fa parketta
- lengő polcos gardróbszekrény
- gránit konyhapult
- finom tapintású, magas minőségű drapériák
- kandalló
- különleges falburkolatok
- olasz bútorok

A belvárosban nagy erkéllyel rendelkező lakást találni ritka, mint a fehér holló. Itt 18m2-en élvezheti majd a jó időt, barátai társaságát, vagy kedvenc könyvét.

Milyen feltételekkel bérelhető az ingatlan?
- azonnal költözhető
- minimum 1 év
- bérleti díj euróban van meghatározva
- háziállat kizárva
- dohányzás kizárva
- gyerekesek kizárva
- 2 havi kaució

Közös költség: 50 000- Ft / hó amely magába foglalja a víz és fűtés díját is.

",https://www.alberlet.hu/kiado_alberlet/budapest-V-kerulet-falk-miksa-utca-105m2-2-szoba_744782,2.0,Lakás,50 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,Luxus,Félemelet,Van,Utcai,1,Legalább 1 év,Nem adott,,Kiváló,,,5,26 000 Ft/hó,2024-04-15,,,,,,,"Fűtés, Víz",Lipótváros,1,,,,,,,,,,,,
4,4,180000,"Eötvös utca Budapest, VI. kerület",41,"{'Épület típusa': 'Lakás', 'Városrész': 'Külső-Terézváros', 'Közös költség': '15 000 Ft/hó', 'Rezsi költség': '24 000 Ft/hó', 'Fűtés': 'Cirkó', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '2', 'Emelet': '1', 'Lift': 'Van', 'Kilátás': 'Utcai és udvari', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Kis társasház'}","
Lakás jellemzők: Fürdőkád Részletek
VI. ker. 2 KÜLÖNNYÍLÓ SZOBÁS (nagy és kicsi), bútorozott kiadó lakás 

A VI. kerületben, közel a Podmaniczky utcához kiadó egy TÉGLA ÉPÍTÉSŰ lakás

2 KÜLÖNNYÍLÓ SZOBA
(nagy és egy kicsi galériás szoba)

Közvetlenül a lakás előtt egy hangulatos körfolyosó található így a dohányzás is megoldott

ELOSZTÁSA MIATT 2 KÜLÖNÁLLÓ EMBER (pl: diák, vagy kolléga) SZÁMÁRA IDEÁLIS MEGOLDÁS !!!

41 négyzetméter

BÚTOROZOTT

GÉPESÍTETT

KIVÁLÓ TÖMEGKÖZLEKEDÉS

2 havi kaucióval, 1 havi bérleti díjjal, 1 éves szerződéssel AZONNAL KÖLTÖZHETŐ

Bérleti díj: 180.000. Ft
",https://www.alberlet.hu/kiado_alberlet/budapest-VI-kerulet-eotvos-utca-41m2-2-szoba_742184,1.5,Lakás,15 000 Ft/hó,Cirkó,,"Berendezett, gépesített",1,Van,Utcai és udvari,,,Nem adott,Kis társasház,,,,,24 000 Ft/hó,,,,,,,,,Külső-Terézváros,2,,,,,,,,,,,,
5,5,200000,"Haller utca Budapest, IX. kerület",49,"{'Épület típusa': 'Lakás', 'Közös költség': '30 000 Ft/hó', 'Rezsi költség': '45 000 Ft/hó', 'Fűtés': 'Házközponti', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-05-01', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '5', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Társasház', 'Komfort fokozat': 'Összkomfortos', 'Épület szintjei': '5'}","
Felszereltség: Klíma, Wifi Részletek

IX. kerület, Haller utcában, 49 négyzetméteres, 1 + 1 szobás, PANORÁMÁS lakás kiadó!

PARAMÉTEREK: lakás két szobából, káddal felszerelt fürdőszobából és konyhából áll. Beépített gardrób segíti a gazdaságos helykihasználást, a nagyobbik szoba légkondicionálóval felszerelt. A lakás teljesen berendezett, hűtőszekrény fagyasztóval, mosógéppel.

REZSI: a fűtést a társasház központi kazánja szolgáltatja, melynek teljes költségét a közös költség tartalmazza (kb. 30.000,- Ft/hó). A meleg vizet gázbojler biztosítja, sütéshez-főzéshez gáz/elektromos tűzhely. Külön vízmérő órákkal felszerelt a pontos méréshez, internet és TV kiépítve.

Ajánlott diákoknak, pároknak, illetve kisebb családoknak.

A parkolás a ház előtt megoldható.

KÖZLEKEDÉS KIVÁLÓ: közel van a belvároshoz, a nagyobb egyetemekhez (SOTE, ELTE, Corvinus, Műszaki Egyetem, Közszolgálati Egyetem), illetve a Duna parton található Lechner Ödön fasori üzleti központhoz (K&H Bank, Vodafone), közel a Lurdy Házhoz a 24/28/51-es villamosok vonalán. Modern játszó tér és park az út túloldalán.

Minimum 1 évre, 2 havi kaucióval és az első havi bérleti díjjal költözhető!
---
KERESŐ ÜGYFELEINK RÉSZÉRE KÖZVETÍTŐI SZOLGÁLTATÁSUNK DÍJTALAN, hétvégén is hívható vagyok!
",https://www.alberlet.hu/kiado_alberlet/budapest-IX-kerulet-haller-utca-49m2-1-szoba_744401,1.0,Lakás,30 000 Ft/hó,Házközponti,Legalább 1 év,"Berendezett, gépesített",5,Van,Panorámás,,Legalább 1 év,Nem adott,Társasház,,Összkomfortos,,5,45 000 Ft/hó,2024-05-01,Igen,,,,,,,,,,,,,,,,,,,,
6,6,394000,"Meder utca Budapest, XIII. kerület",64,"{'Épület típusa': 'Lakás', 'Városrész': 'Vizafogó – Marinapart', 'Közös költség': '99 000 Ft/hó', 'Rezsi költség': '20 000 Ft/hó', 'Fűtés': 'Fan-coil', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-04-22', 'Berendezés': 'Berendezett, gépesített', 'Különnyíló szoba': '1', 'Emelet': '6', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Amerikai konyha': 'Van', 'Min. bérlési idő': 'Legalább 1 év', 'Mosógép van': 'Igen', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': '2018 után épült (Újépítésű)', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Duplakomfortos', 'Konyhai szellőzés': 'Elszívó', 'Parkolási lehetőség': 'Mélygarázs', 'Tájolás': 'Délnyugat', 'Épület szintjei': '8', 'Közös költségben': 'Épület takarítás, Fitnessz, Fűtés, Portaszolgálat, Szauna, Uszoda, Szemétszállítás, Lift üzemeltetés'}","
Lakás jellemzők: Fürdőkád, Külön WC, Terasz Épület jellemzők: Belsőkert, Akadálymentesített Felszereltség: Edző/fitness terem, Külső medence, Portaszolgálat, Szauna Részletek
Kiadó a XIII. Kerületben a Meder utcában, PRESTIGE LAKÓPARKBAN ,egy 64-nm-es,2 szobás+gardrób,ERKÉLYES(14 NM-ES),BÚTOROZOTT,GÉPESÍTETT lakás.

Az ingatlan DUNAI PANORÁMÁS KILÁTÁSSAL rendelkezik,VILÁGOS,CSENDES

Elosztása:előszobából nyíló Amerikai konyhás nappali,fürdőszoba,külön Wc,gardrób szoba,hálószoba.
Bútorozása:Nappaliban kanapé+tv+ebédlőasztal,hálószobában franciaágy+szekrény,Gardrób szoba beépített szekrénnyel.Nappaliból és a hálószobából is megközelíthető a terasz!
Fürdőszobája HIDROMASSZÁZS KÁDAS+WC,MOSÓGÉP VAN!
Konyha gépesítése:HŰTŐ,SÜTŐ,FŐZŐLAP,MOSOGATÓGÉP,MIKRÓ
Fűtése fan-coil ,Közös költsége:99300/hó,ami a fűtés+víz díját tartalmazza, az áram és az internet díja külön fizetendő!

AZ ÉPÜLETBEN KÜLTÉRI MEDENCE,SZAUNA,KONDITEREM,JÁTSZÓTÉR TALÁLHATÓ AMI AZ ITT LAKÓKNAK DÍJTALAN!

MÉLYGARÁZS OPCIONÁLISAN BÉRELHETŐ 100 Euró/hó-ért
Számlaképes az ingatlan!

Kisállat nem hozható
Dohányzás nem megengedett

AZONNAL KÖLTÖZHETŐ 1 HAVI LAKBÉR+2 HAVI KAUCIÓVAL MIN 1 ÉVRE
Környék: Dunához közel
",https://www.alberlet.hu/kiado_alberlet/budapest-XIII-kerulet-meder-utca-64m2-2-szoba_744899,2.0,Lakás,99 000 Ft/hó,Fan-coil,Legalább 1 év,"Berendezett, gépesített",6,Van,Panorámás,1,Legalább 1 év,Nem adott,2018 után épült (Újépítésű),Kiváló,Duplakomfortos,Mélygarázs,8,20 000 Ft/hó,2024-04-22,Igen,,,Elszívó,Délnyugat,,"Épület takarítás, Fitnessz, Fűtés, Portaszolgálat, Szauna, Uszoda, Szemétszállítás, Lift üzemeltetés",Vizafogó – Marinapart,1,Van,,,,,,,,,,,
7,7,285000,"Semmelweis utca Budapest, V. kerület",57,"{'Épület típusa': 'Lakás', 'Közös költség': '36 000 Ft/hó', 'Fűtés': 'Házközponti', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '4', 'Lift': 'Van', 'Kilátás': 'Utcai', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Ingatlan állapota': 'Felújított', 'Komfort fokozat': 'Komfortos'}","
Részletek
5.kerületben a Semmelweis utcában 57nm-es felújított, 1+1 szobás lakás KIADÓ. lakás a 4. emeleten található. központi fűtéssel és klímaberendezéssel felszerelt. Az utcára néz.

Háziállat nem megengedett

Ár = 285.000 Ft/hó
Közös költség = 36.000 Ft
Közüzemi költségek = Fogyasztásonként
Kaució: 2 hónap

Mostantól elérhető
Az Airbnb NEM engedélyezett.

További információért küldj üzenetet Whatsappon keresztül: +36 70 999 6666
Angolul és magyarul beszélek
Magyarul is beszélek!
Hivatkozási szám: DBTS1
",https://www.alberlet.hu/kiado_alberlet/budapest-V-kerulet-semmelweis-utca-57m2-3-szoba_743648,2.5,Lakás,36 000 Ft/hó,Házközponti,Legalább 1 év,"Berendezett, gépesített",4,Van,Utcai,,Legalább 1 év,Nem adott,,Felújított,Komfortos,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,397000,"Danubius utca Budapest, XIII. kerület",45,"{'Épület típusa': 'Lakás', 'Városrész': 'Vizafogó – Marinapart', 'Közös költség': '45 000 Ft/hó', 'Rezsi költség': '20 000 Ft/hó', 'Fűtés': 'Házközp. mérőórával', 'Minimum bérlési idő': 'Legalább 1 év', 'Berendezés': 'Berendezett, gépesített', 'Emelet': '7', 'Lift': 'Van', 'Kilátás': 'Panorámás', 'Erkélyek száma': '1', 'Min. bérlési idő': 'Legalább 1 év', 'Energiatanúsítvány': 'Nem adott', 'Épület szintjei': '9'}","
Részletek
**SCROLL FOR ENGLISH**

Prémium kategóriás, dunai panorámás, nappali + hálós, nagy teraszos lakás kiadó igényes lakóparkban a Marinán.

Nagyon tágas, 13m2-es terasz.

Hetedik emeleti, igazán különleges és hangulatos kilátással rendelkezik a Dunára és a budai hegyekre, mely a lakás mind a két helyiségéből élvezhető.

Teljesen felszerelt és igényesen berendezett lakás, egyedülállónak vagy párnak tökéletes.

Egy lépésre a Duna-part, Népsziget, yachtkikötő.

A Váci útra kisétálva M3-as metró, Duna pláza, számos buszjárat mellyel könnyen megközelíthető a város.

Minimum egy éves szerződéssel, kéthavi kaució és első havi lakbér ellenében AZONNAL KÖLTÖZHETŐ.

**ENGLISH**

Premium category apartment with panoramic view of the Danube, living room + bedroom, large terrace for rent in aN upscale residential park on Marina.

13m2 terrace

Seventh floor, it has a really nice view of the Danube and the Buda hills, which can be enjoyed from both rooms.

Fully equipped and nicely furnished apartment, perfect for single or couple.

One step from the banks of the Danube, Nepsziget Island, yacht marina.

Walking out onto Váci út, metro line M3, Danube plaza, several bus lines with easy access to the city.

It can be moved IMMEDIATELY with a minimum one-year contract, a two-month deposit and first month's rent.
",https://www.alberlet.hu/kiado_alberlet/budapest-XIII-kerulet-danubius-utca-45m2-2-szoba_741356,2.0,Lakás,45 000 Ft/hó,Házközp. mérőórával,Legalább 1 év,"Berendezett, gépesített",7,Van,Panorámás,1,Legalább 1 év,Nem adott,,,,,9,20 000 Ft/hó,,,,,,,,,Vizafogó – Marinapart,,,,,,,,,,,,,
9,9,285000,"Kiscelli utca Budapest, III. kerület",70,"{'Épület típusa': 'Lakás', 'Városrész': 'Óbuda', 'Közös költség': '16 000 Ft/hó', 'Rezsi költség': '20 000 Ft/hó', 'Fűtés': 'Gázkazán', 'Minimum bérlési idő': 'Legalább 1 év', 'Beköltözhető': '2024-01-01', 'Berendezés': 'Üres, gépesített', 'Különnyíló szoba': '3', 'Emelet': '1', 'Kilátás': 'Udvari, világos', 'Erkélyek száma': '2', 'Min. bérlési idő': 'Legalább 1 év', 'Gyermekbarát': 'Igen', 'Hall': 'Van', 'Energiatanúsítvány': 'Nem adott', 'Ház jellege': 'Kis társasház', 'Ingatlan állapota': 'Kiváló', 'Komfort fokozat': 'Összkomfortos', 'Melegvíz': 'Gázbojler', 'Konyhai szellőzés': 'Elszívó és ablak', 'Tájolás': 'Délkelet', 'Épület szintjei': '3', 'Belmagasság': '265 cm', 'Közös költségben': 'Épület takarítás, Szemétszállítás'}","
Lakás jellemzők: Zuhanyzó Épület jellemzők: Lépcsőházas Részletek
Óbuda, San Marco és Kiscelli utcák felé néző ablakokkal rendelkező újszerű társasházi lakás igényes bérlőknek kiadó. 3különnyíló szoba, nagy étkező-hall, külön konyha, külön fürdő és külön WC.
Közlekedés kitűnő, lokáció kitűnő, közelben egyetem, irodaházak, bevásárlási lehetőség.

A ház 2005-ben átadott modern társasház, mely rendezett anyagi háttér mellett stabilan üzemel. Minden itt lakó vigyáz a környezetére, csendes, nagyon rendes közösség.

A lakás minden nyílászárója teraszajtó, hogy még fényesebb legyen minden helyiség. Francia-erkélyek néznek minden irányba!
Előszobából az étkezőbe, innen a lakószobákba jutunk. Külön konyhája van, melyben minden főzési és ételtárolási lehetőség, gép bútorba épített.
Külön Wc és külön (bidés) fürdőszoba, előtérben hatalmas gardrob szolgálja az új bérlők kényelmét.
Sajnos ide kisállattal nem költözhet a leendő bérlő, dohányozni pedig csak a lakáson kívül szabad.

A beköltözés feltétele két havi bérleti díj mértékű óvadék megfizetése
Bérleti díj: 285e Ft + közös költség + rezsi (minden fogyasztás mérőórával mért.

Az ideális bérlő magyar anyanyelvű személy vagy pár. a bérleti szerződés mellett közjegyzői nyilatkozat is szükséges.
Irodának a lakás nem kiadó.

Kérem, nézze meg irodánk további - egyedi - hirdetéseit is, várom érdeklődő hívását – akár hétvégén is. Minden keresőt visszahívok, ha nem is tudom felvenni :)
Eladná ingatlanát? A StílusOtthon ingatlaniroda szívesen veszi megbízását optimális áron, nagy szakértelemmel _ _ _ nézze meg bemutatkozó oldalunkat itt az iroda hirdetéseinél
Környék egyéb: Bécsi út
Közlekedés egyéb: fonódó Budai villamos
",https://www.alberlet.hu/kiado_alberlet/budapest-III-kerulet-kiscelli-utca-70m2-3-szoba_739316,3.0,Lakás,16 000 Ft/hó,Gázkazán,Legalább 1 év,"Üres, gépesített",1,,"Udvari, világos",2,Legalább 1 év,Nem adott,Kis társasház,Kiváló,Összkomfortos,,3,20 000 Ft/hó,2024-01-01,,,Gázbojler,Elszívó és ablak,Délkelet,265 cm,"Épület takarítás, Szemétszállítás",Óbuda,3,,Igen,Van,,,,,,,,,
